Adis Abeba;Addis Abeba;Ethiopia;3,100,000
Fuzhou;Fuzhou;China;3,100,000
Luanda;Luanda;Angola;3,100,000
Napoli;Naples;Italy;3,100,000
San Diego;San Diego;United States of America;3,025,000
Surabaya;Surabaya;Indonesia;3,000,000
'Ammān;Amman;Jordan;2,975,000
Lucknow;Lucknow;India;2,950,000
Ciudad de Guatemala;Guatemala City;Guatemala;2,925,000
Kābol;Kabul;Afghanistan;2,925,000
Ḥalab;Aleppo;Syria;2,900,000
İzmir;Izmir;Turkey;2,900,000
Denver;Denver;United States of America;2,875,000
St. Louis;St. Louis;United States of America;2,850,000
Campinas;Campinas;Brazil;2,825,000
Nāgpur;Nagpur;India;2,825,000
Kaohsiung;Kaohsiung;Taiwan (Rep. of China);2,800,000
Changsha;Changsha;China;2,775,000
Cleveland;Cleveland;United States of America;2,775,000
Cali;Cali;Colombia;2,750,000
Tampa;Tampa;United States of America;2,750,000
San Juan;San Juan;Puerto Rico;2,725,000
Dimashq;Damascus;Syria;2,700,000
Ha Noi;Hanoi;Vietnam;2,700,000
Mashhad;Meshed;Iran;2,700,000
Medan;Medan;Indonesia;2,700,000
Dakar;Dakar;Senegal;2,675,000
Orlando;Orlando;United States of America;2,675,000
P'yŏngyang;Pyongyang;Korea (North);2,675,000
Birmingham;Birmingham;Great Britain;2,625,000
Daegu;Taegu;Korea (South);2,625,000
Hamburg;Hamburg;Germany;2,600,000
Manchester;Manchester;Great Britain;2,600,000
Port-au-Prince;Port-au-Prince;Haiti;2,600,000
Shijiazhuang;Shijiazhuang;China;2,575,000
Wenzhou;Wenzhou;China;2,575,000
Colombo;Colombo;Sri Lanka;2,550,000
Lisboa;Lisbon;Portugal;2,550,000
Suzhou;Suzhou;China;2,550,000
Patna;Patna;India;2,525,000
Pretoria;Pretoria;South Africa;2,525,000
Sapporo;Sapporo;Japan;2,525,000
Toshkent;Tashkent;Uzbekistan;2,500,000
Zibo;Zibo;China;2,500,000
Katowice;Katowice;Poland;2,475,000
Cebu;Cebu;Philippines;2,450,000
Fukuoka;Fukuoka;Japan;2,425,000
Guiyang;Guiyang;China;2,375,000
Urumqi;Urumqi;China;2,375,000
Vancouver;Vancouver;Canada;2,375,000
Pittsburgh;Pittsburgh;United States of America;2,350,000
Lanzhou;Lanzhou;China;2,325,000
Tūnis;Tunis;Tunisia;2,325,000
Anshan;Anshan;China;2,300,000
Budapest;Budapest;Hungary;2,300,000
Harare;Harare;Zimbabwe;2,300,000
Sacramento;Sacramento;United States of America;2,300,000
Guayaquil;Guayaquil;Ecuador;2,275,000
Taichung;Taichung;Taiwan (Rep. of China);2,275,000
Tel Aviv-Yafo;Tel Aviv-Jaffa;Israel;2,275,000
Portland;Portland;United States of America;2,250,000
Hefei;Hofei;China;2,225,000
La Habana;Havana;Cuba;2,225,000
Leeds;Leeds;Great Britain;2,225,000
Warszawa;Warsaw;Poland;2,225,000
Wuxi;Wuxi;China;2,225,000
Belém;Belem;Brazil;2,200,000
Douala;Douala;Cameroon;2,200,000
Nanchang;Nanchang;China;2,200,000
Quanzhou;Quanzhou;China;2,200,000
Asunción;Asunción;Paraguay;2,175,000
Bhilai;Bhilai;India;2,175,000
Cincinnati;Cincinnati;United States of America;2,175,000
Goiânia;Goiania;Brazil;2,175,000
Bucureşti;Bucharest;Romania;2,150,000
Ṣan'ā';Sanaa;Yemen;2,150,000
Ningbo;Ningbo;China;2,125,000
Nanning;Nanning;China;2,100,000
San Antonio;San Antonio;United States of America;2,100,000
Eṣfahān;Isfahan;Iran;2,075,000
